,datetime,year,month,day,hour,minutes,temp,hum,rain
28,"{u'mday': u'05', u'hour': u'14', u'min': u'30', u'mon': u'08', u'pretty': u'2:30 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,14,30,28.0,32,0
29,"{u'mday': u'05', u'hour': u'15', u'min': u'00', u'mon': u'08', u'pretty': u'3:00 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,15,0,28.0,35,0
30,"{u'mday': u'05', u'hour': u'15', u'min': u'30', u'mon': u'08', u'pretty': u'3:30 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,15,30,28.0,35,0
31,"{u'mday': u'05', u'hour': u'16', u'min': u'00', u'mon': u'08', u'pretty': u'4:00 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,16,0,28.0,32,0
32,"{u'mday': u'05', u'hour': u'16', u'min': u'30', u'mon': u'08', u'pretty': u'4:30 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,16,30,28.0,32,0
33,"{u'mday': u'05', u'hour': u'16', u'min': u'39', u'mon': u'08', u'pretty': u'4:39 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,16,39,28.0,32,0
34,"{u'mday': u'05', u'hour': u'17', u'min': u'00', u'mon': u'08', u'pretty': u'5:00 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,17,0,28.0,32,0
35,"{u'mday': u'05', u'hour': u'17', u'min': u'30', u'mon': u'08', u'pretty': u'5:30 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,17,30,28.0,32,0
36,"{u'mday': u'05', u'hour': u'18', u'min': u'00', u'mon': u'08', u'pretty': u'6:00 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,18,0,29.0,29,0
37,"{u'mday': u'05', u'hour': u'18', u'min': u'30', u'mon': u'08', u'pretty': u'6:30 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,18,30,29.0,29,0
38,"{u'mday': u'05', u'hour': u'19', u'min': u'00', u'mon': u'08', u'pretty': u'7:00 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,19,0,29.0,30,0
39,"{u'mday': u'05', u'hour': u'19', u'min': u'30', u'mon': u'08', u'pretty': u'7:30 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,19,30,29.0,30,0
40,"{u'mday': u'05', u'hour': u'20', u'min': u'00', u'mon': u'08', u'pretty': u'8:00 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,20,0,29.0,29,0
41,"{u'mday': u'05', u'hour': u'20', u'min': u'30', u'mon': u'08', u'pretty': u'8:30 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,20,30,27.0,37,0
42,"{u'mday': u'05', u'hour': u'21', u'min': u'00', u'mon': u'08', u'pretty': u'9:00 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,21,0,26.0,42,0
43,"{u'mday': u'05', u'hour': u'21', u'min': u'30', u'mon': u'08', u'pretty': u'9:30 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,21,30,24.0,47,0
44,"{u'mday': u'05', u'hour': u'22', u'min': u'00', u'mon': u'08', u'pretty': u'10:00 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,22,0,24.0,50,0
45,"{u'mday': u'05', u'hour': u'22', u'min': u'30', u'mon': u'08', u'pretty': u'10:30 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,22,30,24.0,50,0
46,"{u'mday': u'05', u'hour': u'23', u'min': u'00', u'mon': u'08', u'pretty': u'11:00 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,23,0,23.0,53,0
47,"{u'mday': u'05', u'hour': u'23', u'min': u'30', u'mon': u'08', u'pretty': u'11:30 PM CEST on August 05, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,5,23,30,22.0,57,0
0,"{u'mday': u'06', u'hour': u'00', u'min': u'00', u'mon': u'08', u'pretty': u'12:00 AM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,0,0,21.0,60,0
1,"{u'mday': u'06', u'hour': u'00', u'min': u'30', u'mon': u'08', u'pretty': u'12:30 AM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,0,30,20.0,64,0
2,"{u'mday': u'06', u'hour': u'01', u'min': u'00', u'mon': u'08', u'pretty': u'1:00 AM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,1,0,20.0,64,0
3,"{u'mday': u'06', u'hour': u'01', u'min': u'30', u'mon': u'08', u'pretty': u'1:30 AM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,1,30,20.0,64,0
4,"{u'mday': u'06', u'hour': u'02', u'min': u'00', u'mon': u'08', u'pretty': u'2:00 AM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,2,0,19.0,68,0
5,"{u'mday': u'06', u'hour': u'02', u'min': u'30', u'mon': u'08', u'pretty': u'2:30 AM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,2,30,19.0,68,0
6,"{u'mday': u'06', u'hour': u'03', u'min': u'00', u'mon': u'08', u'pretty': u'3:00 AM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,3,0,18.0,73,0
7,"{u'mday': u'06', u'hour': u'03', u'min': u'30', u'mon': u'08', u'pretty': u'3:30 AM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,3,30,18.0,73,0
8,"{u'mday': u'06', u'hour': u'04', u'min': u'00', u'mon': u'08', u'pretty': u'4:00 AM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,4,0,18.0,68,0
9,"{u'mday': u'06', u'hour': u'04', u'min': u'30', u'mon': u'08', u'pretty': u'4:30 AM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,4,30,16.0,77,0
10,"{u'mday': u'06', u'hour': u'05', u'min': u'00', u'mon': u'08', u'pretty': u'5:00 AM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,5,0,16.0,77,0
11,"{u'mday': u'06', u'hour': u'05', u'min': u'30', u'mon': u'08', u'pretty': u'5:30 AM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,5,30,16.0,77,0
12,"{u'mday': u'06', u'hour': u'06', u'min': u'00', u'mon': u'08', u'pretty': u'6:00 AM CEST on August 06, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,6,6,0,16.0,77,0
